#Min_Id	Max_Id	Length	可否hold	是否起降	是否弯道
305	309	84.70 	0	0	1
302	304	413.90 	1	0	0
297	302	135.90 	0	0	0
299	301	110.00 	0	0	0
297	299	97.53 	0	0	1
297	301	85.81 	0	0	1
301	302	91.96 	0	0	1
299	302	94.92 	0	0	1
295	297	127.30 	0	0	0
295	300	103.70 	0	0	1
297	300	85.00 	0	0	1
292	295	241.60 	1	0	0
290	292	281.70 	1	0	0
289	290	102.60 	0	0	1
290	293	151.20 	0	0	1
289	292	242.10 	0	0	1
292	293	256.10 	0	0	0
289	293	166.50 	0	0	1
287	290	371.70 	1	0	0
283	287	331.40 	1	0	0
283	285	103.30 	0	0	1
285	287	292.70 	0	0	1
283	598	191.49 	0	0	1
287	598	340.99 	0	0	0
285	598	200.89 	0	0	0
280	283	251.50 	1	0	0
279	280	239.20 	1	0	0
280	281	101.20 	0	0	1
279	281	198.60 	0	0	1
279	282	188.90 	0	0	0
281	282	138.60 	0	0	1
282	354	226.80 	0	0	0
279	562	132.70 	0	0	0
227	562	91.57 	0	0	1
227	279	97.33 	0	0	1
226	562	86.04 	0	0	1
226	563	101.80 	0	0	1
562	563	125.90 	0	0	0
246	563	203.00 	1	0	0
245	246	276.90 	1	0	0
233	247	175.90 	0	0	1
233	246	103.80 	0	0	1
233	245	237.40 	0	0	1
245	247	261.40 	0	0	0
232	595	170.30	1	0	0
595	596	185.90	1	0	0
240	596	247.60 	1	0	0
245	594	202.00	1	0	0
242	594	263.20 	1	0	0
242	244	145.10 	0	0	0
241	243	115.10 	0	0	0
239	240	140.70 	0	0	0
238	241	114.90 	0	0	0
241	242	101.10 	0	0	1
242	243	103.80 	0	0	1
243	244	101.10 	0	0	1
241	244	99.60 	0	0	1
239	241	100.30 	0	0	1
240	241	106.20 	0	0	1
238	240	98.62 	0	0	1
238	239	98.80 	0	0	1
243	352	131.20 	1	0	0
236	238	159.50 	0	0	0
237	238	139.00 	0	0	1
236	237	140.70 	0	0	1
237	248	102.70 	1	0	0
248	250	93.89 	0	0	0
248	249	123.10 	0	0	1
249	250	116.20 	0	0	1
239	254	319.50 	1	0	0
250	251	128.60 	1	0	0
235	265	414.90 	0	0	0
252	253	152.90 	1	0	0
256	257	150.20 	1	0	0
252	582	113.60 	0	0	0
254	258	123.30 	0	0	0
252	254	92.52 	0	0	1
254	582	94.99 	0	0	1
258	582	87.73 	0	0	1
252	258	84.83 	0	0	1
251	252	63.76 	0	0	1
251	253	102.50 	0	0	1
257	260	110.00 	0	0	0
258	259	128.40 	0	0	1
257	258	85.23 	0	0	1
257	259	95.17 	0	0	1
259	260	95.90 	0	0	1
258	260	85.19 	0	0	1
263	582	116.00 	0	0	0
255	261	134.50 	0	0	0
244	255	314.30 	1	0	0
261	582	92.60 	0	0	1
261	263	98.86 	0	0	1
255	263	95.05 	0	0	1
255	582	95.26 	0	0	1
260	262	120.00 	0	0	0
261	264	130.50 	0	0	0
260	264	109.50 	0	0	1
262	264	110.10 	0	0	1
261	262	86.10 	0	0	1
260	261	81.20 	0	0	1
265	266	353.70 	0	0	0
266	267	90.12 	0	0	1
275	277	161.80 	0	0	1
267	277	141.20 	0	0	0
266	276	205.70 	0	0	1
266	275	202.90 	0	0	1
267	276	172.20 	0	0	1
266	277	140.70 	0	0	1
267	268	98.26 	0	0	0
268	583	124.10 	0	0	0
269	274	128.20 	0	0	0
259	269	325.90 	1	0	0
264	270	319.70 	1	0	0
270	271	132.90 	0	0	0
273	275	111.10 	0	0	0
272	273	112.80 	0	0	0
273	274	89.39 	0	0	1
272	274	87.83 	0	0	1
268	274	92.69 	0	0	1
274	583	86.55 	0	0	1
269	583	94.89 	0	0	1
268	269	111.30 	0	0	1
271	272	85.47 	0	0	1
271	583	93.73 	0	0	1
270	583	98.39 	0	0	1
276	278	392.50 	0	0	1
277	586	236.70 	0	0	0
584	586	677.70 	0	0	0
262	350	130.20 	0	0	0
263	351	130.30 	0	0	0
247	353	182.20 	0	0	0
293	355	190.70 	0	0	0
301	356	136.50 	0	0	0
306	357	130.50 	0	0	0
307	358	136.00 	0	0	0
318	362	2336.00 	0	1	0
320	362	2810.00 	0	1	0
324	362	3287.00 	0	1	0
326	362	3897.00 	0	1	0
327	362	4128.00 	0	1	0
319	362	2339.00 	0	1	0
321	362	2799.00 	0	1	0
325	362	3279.00 	0	1	0
328	362	4134.00 	0	1	0
316	364	2328.00 	0	1	0
317	364	2329.00 	0	1	0
315	364	2800.00 	0	1	0
314	364	2797.00 	0	1	0
313	364	3276.00 	0	1	0
312	364	3276.00 	0	1	0
9	364	3908.00 	0	1	0
