#Min_Id	Max_Id	Length
80	320	175.80427634700
80	321	190.66861988300
85	392	234.44934143100
85	355	182.08317754100
85	356	180.26479243300
85	393	240.86996257000
188	191	224.05875113900
90	357	184.78927070300
82	86	231.31944702800
19	247	284.19527743500
9	14	352.77298717400
14	239	154.14323348700
14	241	143.06988034700
16	19	574.96225315900
242	243	321.22225456600
242	244	225.97985307800
242	245	150.51078077400
242	386	391.37860331200
242	387	161.63250367300
191	193	324.73456615100
19	242	356.03494949900
242	257	174.51340399800
242	259	178.12445863100
19	260	148.48175950300
19	261	139.28117984600
26	250	154.51671278800
26	251	158.40937846900
195	202	297.54807098400
20	247	283.23841511300
211	328	128.75513584700
192	194	354.32157194700
233	395	2266.77661544000
213	395	3333.26167925000
235	395	4127.94858887000
216	395	4459.55871273000
224	395	4768.09773943000
170	395	5144.68494691000
168	395	5909.25891763000
236	395	6393.55831036000
169	395	6423.63954971000
0	396	6254.70183407000
384	396	5385.90289825000
232	396	4548.27491160000
215	396	3653.19750484000
214	396	2794.35119132000
235	396	2397.06724960000
216	396	2075.34863260000
225	396	1682.68064730000
116	398	6228.68685706000
115	398	6064.28791281000
111	398	5790.08783033000
108	398	5534.04607195000
103	398	4633.55976518000
31	397	5972.18708810000
37	397	5780.92716441000
38	397	5489.61818792000
54	397	4701.07343859000
68	397	3777.20992492000
72	397	3448.40235891000
88	397	2788.12719663000
87	397	2547.95067325000
104	397	1847.56800548000
